**Identified Datasets for the Department of Health and Mental Hygiene**

1.  **Violation and Penalty Records**

    **Quotes:**
    *   "Failure to comply with the provisions adopted by the department pursuant to this section shall constitute a misdemeanor, punishable by a fine of not exceeding two hundred fifty dollars, or imprisonment not exceeding six months, or both." (§ 17-104.b)
    *   "Failure to comply with the provisions of this section shall constitute a misdemeanor, punishable by a fine of not exceeding two hundred fifty dollars, or imprisonment not exceeding six months, or both." (§ 17-107.c)
    *   "Failure to comply with the provisions of this section shall constitute a misdemeanor, punishable by a fine of not exceeding two hundred fifty dollars, or imprisonment not exceeding six months, or both." (§ 17-108.d)
    *   "Any person who violates the provisions of this section, or the regulations promulgated hereunder, shall be guilty of a misdemeanor punishable by a fine of up to five hundred dollars or imprisonment for up to six months or both. In addition, any violation of this section shall constitute a civil violation subject to a penalty of not more than five hundred dollars per violation." (§ 17-123.d)
    *   "Every person, corporation, or body that shall violate or not conform to any provisions of the health code of the city of New York, or any rule or sanitary regulation duly made, shall be liable to pay a penalty not exceeding the maximum amount allowed by the health code of the city of New York, or any other applicable law, rule or regulation." (§ 17-133)
    *   "Every person, corporation, or body that shall violate or not conform to any provisions of the health code of the city of New York or any applicable law, rule or regulation pertaining to the eradication of rodents, the elimination of rodent harborages or other rodent related nuisances shall be liable to pay a civil penalty of not less than three hundred dollars for the first violation." (§ 17-133.1)
    *   "A food service establishment that violates this section or any rule promulgated thereunder in a manner that does not present an imminent health hazard or public health hazard... shall be subject to a civil penalty of $500; except that such food service establishment shall not be subject to a civil penalty for a first-time violation if such food service establishment proves to the satisfaction of the department, within seven days of the issuance of the notice of violation and prior to the commencement of an adjudication of the violation, that the violation has been cured." (§ 17-144.b)
    *   "The department, in case it has incurred any expense, or has rendered service for which payment is due, and as the rules of the department may provide, may institute and maintain a suit against any one liable for such expenses, or against any person, firm, or corporation, owing or who may owe such rent or compensation, and may recover the expenses so incurred under any such order." (§ 17-150)
    *   "Whenever the expenses attending the execution of any order of the department may be made the subject of a suit by it, there may be joined in the same suit a claim or claims for any penalty or penalties for violation of any health provisions, or for the violation or omission to perform or obey such order, or any prior order of the department, or for the not doing of that, or any portion of that, for the doing of which such expenses arose or were incurred; and the proper joint or several judgment may be had against one or more of the defendants in the suit, as they or either of them may be liable in respect of both such claims, or either or any of them." (§ 17-153.c)
    *   "Failure to comply with the provisions of this section shall constitute a misdemeanor, punishable by a fine of not exceeding two hundred fifty dollars, or imprisonment not exceeding six months, or both." (§ 17-165.c)
    *   "Any violation of the provisions of this section or any of the regulations promulgated hereunder, shall be prosecuted as a civil violation subject to a penalty of a sum ranging from zero to not more than one hundred dollars." (§ 17-173.d)
    *   "Any person who violates the provisions of this section, or any of the rules promulgated thereunder, shall, for a first offense, be guilty of a violation punishable by a fine not to exceed two hundred fifty dollars, provided that such person shall be issued a written warning instead of such fine for such first offense where such animal was not injured as a result of being restrained in violation of this section." (§ 17-197.c)
    *   "Any person who violates subdivision b of this section or any rule promulgated thereunder shall be liable for a civil penalty not to exceed $2,500 for each violation recoverable in a proceeding before any tribunal established within the office of administrative trials and hearings or within any agency of the city of New York designated to conduct such proceedings; except that for a first such violation and other violations of subdivision b occurring on the same day, such person shall be liable for a civil penalty not to exceed $1,000 for each violation recoverable in a proceeding before any such tribunal." (§ 17-197.1.e)
    *   "Any owner of a building who violates subdivisions b or c of this section or any of the rules promulgated thereunder shall be liable for a civil penalty not less than $200 and not to exceed $2,000 for each violation. Any owner of a building who violates subdivision d of this section or any of the rules promulgated thereunder shall be liable for a civil penalty not to exceed $250 for each violation. Any owner of a building who violates subdivision g of this section shall be liable for a civil penalty not less than $200 and not to exceed $2,000 for each violation." (§ 17-194.j)
    *   "Any owner of a building who violates any provision of this section or any of the rules promulgated thereunder shall be liable for a civil penalty of not more than $2,000 for a first violation, and not more than $5,000 for a second or subsequent violation, except that such owner shall be liable for a penalty of not more than $10,000 for any violation that is accompanied by or results in a fatality or serious injury." (§ 17-194.1.i.2.i)
    *   "Any food service establishment that violates subdivision c of this section or any of the rules promulgated thereunder shall be liable for a civil penalty not to exceed one hundred dollars for each violation." (§ 17-195.e)
    *   "Any internet-based food delivery service provider that violates subdivision b of this section or any of the rules promulgated thereunder shall be liable for a civil penalty not to exceed one hundred dollars for each violation." (§ 17-195.1.c)
